Time,Cell,F,bite,bitepoint,lick,lickpoint,licking
18.08557733430799,C2,4.540509,0,0,0,0,1.0
18.18549765107213,C2,5.929965,0,0,0,0,1.0
18.28541796783626,C2,5.50695,0,0,0,0,1.0
18.38533828460039,C2,4.993548,0,0,0,0,1.0
18.48525860136452,C2,3.567849,0,0,0,0,1.0
18.58517891812865,C2,3.573027,0,0,0,0,1.0
18.68509923489279,C2,1.997288,0,0,0,0,1.0
18.78501955165692,C2,1.942452,0,0,0,0,1.0
18.88493986842105,C2,3.325866,0,0,0,0,1.0
18.98486018518518,C2,2.296845,0,0,0,0,1.0
19.08478050194932,C2,3.755203,0,0,0,0,1.0
19.18470081871345,C2,1.580548,0,0,0,0,1.0
19.28462113547758,C2,2.605712,0,0,0,0,1.0
19.38454145224172,C2,3.093266,0,0,0,0,1.0
19.48446176900585,C2,2.6088,0,0,0,0,1.0
19.58438208576998,C2,1.383412,0,0,0,0,1.0
19.68430240253411,C2,1.815374,0,0,0,0,1.0
19.78422271929825,C2,0.6024534,0,0,0,0,1.0
19.88414303606238,C2,1.80514,0,0,0,0,1.0
19.98406335282651,C2,1.372185,0,0,0,0,1.0
20.08398366959064,C2,2.966289,0,0,0,0,1.0
20.18390398635477,C2,2.029698,0,0,0,0,1.0
20.28382430311891,C2,1.039931,0,0,0,0,1.0
20.38374461988304,C2,2.154428,0,0,0,0,1.0
20.48366493664717,C2,2.964569,0,0,0,0,1.0
20.58358525341131,C2,2.555138,0,0,0,0,1.0
20.68350557017544,C2,0.9262863,0,0,0,0,1.0
20.78342588693957,C2,1.240252,0,0,0,0,1.0
20.8833462037037,C2,1.548761,0,0,0,0,1.0
20.98326652046784,C2,2.955662,0,0,0,0,1.0
21.08318683723197,C2,2.292628,0,0,0,0,1.0
21.1831071539961,C2,1.885742,0,0,0,0,1.0
21.28302747076023,C2,4.698946,0,0,0,0,1.0
21.38294778752437,C2,3.492376,0,0,0,0,1.0
21.4828681042885,C2,3.227746,0,0,0,0,1.0
21.58278842105263,C2,5.103718,0,0,0,0,1.0
21.68270873781676,C2,4.120194,0,0,0,0,1.0
21.7826290545809,C2,3.838206,0,0,0,0,1.0
21.88254937134503,C2,3.543905,0,0,0,0,1.0
21.98246968810916,C2,5.964938,0,0,0,0,1.0
22.08239000487329,C2,10.36358,0,0,0,0,1.0
22.18231032163743,C2,14.15821,0,0,0,0,1.0
22.28223063840156,C2,12.11238,0,0,0,0,1.0
22.38215095516569,C2,14.92643,0,0,0,0,1.0
22.48207127192983,C2,11.67509,0,0,0,0,1.0
22.58199158869396,C2,13.48067,0,0,0,0,1.0
22.68191190545809,C2,11.41749,0,0,0,0,1.0
22.78183222222222,C2,8.784429,0,0,0,0,1.0
22.88175253898635,C2,9.215578,0,0,0,0,1.0
22.98167285575049,C2,8.869083,0,0,0,0,1.0
23.08159317251462,C2,9.392431,0,0,0,0,1.0
23.18151348927875,C2,8.910618,0,0,0,0,1.0
23.28143380604288,C2,7.754651,0,0,0,0,1.0
23.38135412280702,C2,3.522898,0,0,0,0,0.0
23.48127443957115,C2,4.946344,0,0,0,0,0.0
23.58119475633528,C2,5.419902,0,0,0,0,0.0
23.68111507309942,C2,6.04964,0,0,0,0,0.0
23.78103538986355,C2,7.196893,0,0,0,0,0.0
23.88095570662768,C2,7.49309,0,0,0,0,0.0
23.98087602339181,C2,6.103496,0,0,0,0,0.0
24.08079634015595,C2,8.630532,0,0,0,0,0.0
24.18071665692008,C2,7.295534,0,0,0,0,0.0
24.28063697368421,C2,5.057203,0,0,0,1,1.0
24.38055729044834,C2,3.132588,0,0,0,0,1.0
24.48047760721247,C2,4.23907,0,0,0,0,1.0
24.58039792397661,C2,2.591535,0,0,0,0,1.0
24.68031824074074,C2,0.608369,0,0,0,0,1.0
24.78023855750487,C2,0.9183412,0,0,0,0,1.0
24.88015887426901,C2,2.704408,0,0,0,0,1.0
24.98007919103314,C2,3.528854,0,0,0,0,1.0
25.07999950779727,C2,2.876667,0,0,0,0,1.0
25.1799198245614,C2,2.784481,0,0,0,0,1.0
25.27984014132554,C2,4.332257,0,0,0,0,1.0
25.37976045808967,C2,2.703909,0,0,0,0,1.0
25.4796807748538,C2,1.21871,0,0,0,0,1.0
25.57960109161793,C2,2.751193,0,0,0,0,1.0
25.67952140838207,C2,4.973775,0,0,0,0,1.0
25.7794417251462,C2,3.296389,0,0,0,0,1.0
25.87936204191033,C2,2.025698,0,0,0,0,1.0
25.97928235867446,C2,0.6581415,0,0,0,0,1.0
26.0792026754386,C2,0.474182,0,0,0,0,1.0
26.17912299220273,C2,-0.6623709,0,0,0,0,1.0
26.27904330896686,C2,1.184871,0,0,0,0,1.0
26.37896362573099,C2,1.30236,0,0,0,0,1.0
26.47888394249513,C2,0.8669349,0,0,0,0,1.0
26.57880425925926,C2,2.409335,0,0,0,0,1.0
26.67872457602339,C2,1.015428,0,0,0,0,1.0
26.77864489278753,C2,0.169737,0,0,0,0,1.0
26.87856520955166,C2,1.265605,0,0,0,0,1.0
26.97848552631579,C2,0.7599959,0,0,0,0,1.0
27.07840584307992,C2,1.482367,0,0,0,0,1.0
27.17832615984405,C2,2.490853,0,0,0,0,1.0
27.27824647660819,C2,2.828539,0,0,0,0,1.0
27.37816679337232,C2,1.452934,0,0,0,0,1.0
27.47808711013645,C2,2.787716,0,0,0,0,1.0
27.57800742690058,C2,2.943798,0,0,0,0,1.0
27.67792774366472,C2,1.461916,0,0,0,0,1.0
27.77784806042885,C2,1.45291,0,0,0,0,1.0
27.87776837719298,C2,1.088628,0,0,0,0,1.0
27.97768869395712,C2,-0.3404527,0,0,0,0,1.0
28.07760901072125,C2,0.4825714,0,0,0,0,1.0
28.17752932748538,C2,0.3535819,0,0,0,0,1.0
28.27744964424951,C2,0.718029,0,0,0,0,1.0
28.37736996101365,C2,2.465011,0,0,0,0,1.0
28.47729027777778,C2,2.249987,0,0,0,0,1.0
28.57721059454191,C2,2.655518,0,0,0,0,1.0
28.67713091130604,C2,2.917469,0,0,0,0,1.0
28.77705122807017,C2,1.653667,0,0,0,0,1.0
28.87697154483431,C2,2.21115,0,0,0,0,1.0
28.97689186159844,C2,2.74761,0,0,0,0,1.0
29.07681217836257,C2,4.404262,0,0,0,0,1.0
29.17673249512671,C2,4.409354,0,0,0,0,1.0
29.27665281189084,C2,3.900479,0,0,0,0,0.0
29.37657312865497,C2,5.105497,0,0,0,0,0.0
29.4764934454191,C2,5.514379,0,0,0,0,0.0
29.57641376218324,C2,6.104421,0,0,0,0,0.0
29.67633407894737,C2,5.509461,0,0,0,0,0.0
29.7762543957115,C2,6.04008,0,0,0,0,0.0
29.87617471247563,C2,6.45181,0,0,0,0,0.0
29.97609502923977,C2,4.777566,0,0,0,0,0.0
30.0760153460039,C2,1.381501,0,0,0,0,0.0
30.17593566276803,C2,3.311401,0,0,0,0,0.0
30.27585597953216,C2,6.811722,0,0,0,0,0.0
30.3757762962963,C2,8.434457,0,0,0,0,0.0
30.47569661306043,C2,10.2828,0,0,0,0,0.0
30.57561692982456,C2,9.992799,0,0,0,0,0.0
