Time,Cell,F,bite,bitepoint,biting,lickpoint
83.93288148,C26,-0.9122254,0,0,0,0
84.03280158,C26,0.3782471,0,0,0,0
84.13272168,C26,-0.9616453,0,0,0,0
84.23264177,C26,-0.1889574,0,0,0,0
84.33256187,C26,-0.07683637,0,0,0,0
84.43248197,C26,-1.419507,0,0,0,0
84.53240206,C26,1.567522,0,0,0,0
84.63232216,C26,2.528804,0,0,0,0
84.73224226,C26,2.524995,0,0,0,0
84.83216236,C26,-0.5669152,0,0,0,0
84.93208245,C26,-0.2773674,0,0,0,0
85.03200255,C26,-0.4121874,0,0,0,0
85.13192265,C26,1.839022,0,0,0,0
85.23184274,C26,-1.259126,0,0,0,0
85.33176284,C26,-0.4255861,0,0,0,0
85.43168294,C26,-0.7246531,0,0,0,0
85.53160303,C26,1.008843,0,0,0,0
85.63152313,C26,0.1060101,0,0,0,0
85.73144323,C26,-1.393057,0,0,0,0
85.83136333,C26,-2.531388,0,0,0,0
85.93128342,C26,-3.006761,0,0,0,0
86.03120352,C26,-4.260283,0,0,0,0
86.13112362,C26,-0.9199085,0,0,0,0
86.23104371,C26,-1.719423,0,0,0,0
86.33096381,C26,1.294592,0,0,0,0
86.43088391,C26,2.081705,0,0,0,0
86.530804,C26,2.385684,0,0,0,0
86.6307241,C26,2.791258,0,0,0,0
86.7306442,C26,-0.7121153,0,0,0,0
86.8305643,C26,0.9129897,0,0,0,0
86.93048439,C26,-0.02832028,0,0,0,0
87.03040449,C26,0.2504432,0,0,0,0
87.13032459,C26,-1.611449,0,0,0,0
87.23024468,C26,-1.754745,0,0,0,0
87.33016478,C26,4.672576,0,0,0,0
87.43008488,C26,1.0097,0,0,0,0
87.53000497,C26,-0.4964722,0,0,0,0
87.62992507,C26,1.532357,0,0,0,0
87.72984517,C26,-1.269388,0,0,0,0
87.82976527,C26,0.6219766,0,0,0,0
87.92968536,C26,-0.3099015,0,1,0,1
88.02960546,C26,0.2791823,0,0,0,0
88.12952556,C26,-0.01316031,0,0,0,0
88.22944565,C26,-1.465863,0,0,0,0
88.32936575,C26,-0.3015261,0,0,0,0
88.42928585,C26,1.344743,0,0,0,0
88.52920594,C26,1.174834,0,0,0,0
88.62912604,C26,1.70097,0,0,0,0
88.72904614,C26,0.9551857,0,0,0,0
88.82896624,C26,-1.322531,0,0,0,0
88.92888633,C26,1.316511,0,0,0,0
89.02880643,C26,-0.7420922,0,0,0,0
89.12872653,C26,-0.137136,0,0,0,0
89.22864662,C26,1.029607,0,0,0,0
89.32856672,C26,0.02298328,0,0,0,0
89.42848682,C26,0.4177234,0,0,0,0
89.52840691,C26,0.2456747,0,0,0,0
89.62832701,C26,0.2996827,0,0,0,0
89.72824711,C26,-0.9383255,0,0,0,0
89.82816721,C26,-1.181661,0,0,0,0
89.9280873,C26,0.4463764,0,0,0,0
90.0280074,C26,-1.112218,0,0,0,0
90.1279275,C26,-0.6538867,0,0,0,0
90.22784759,C26,-2.974505,0,0,0,0
90.32776769,C26,-1.173851,0,0,0,0
90.42768779,C26,-1.106307,0,0,0,0
90.52760788,C26,-3.204572,0,0,0,0
90.62752798,C26,-3.670043,0,0,0,0
90.72744808,C26,-2.923213,0,0,0,0
90.82736818,C26,-2.199796,0,0,0,0
90.92728827,C26,-2.013444,0,0,0,0
91.02720837,C26,-2.384668,0,0,0,0
91.12712847,C26,-1.859139,0,0,0,0
91.22704856,C26,0.5515298,0,0,0,0
91.32696866,C26,1.427097,0,0,0,0
91.42688876,C26,1.980675,0,0,0,0
91.52680885,C26,-0.4499471,0,0,0,0
91.62672895,C26,-1.095532,0,0,0,0
91.72664905,C26,0.07206564,0,0,0,0
91.82656915,C26,-0.3254478,0,0,0,0
91.92648924,C26,-0.3714904,0,0,0,0
92.02640934,C26,0.1600944,0,0,0,0
92.12632944,C26,-1.278454,0,0,0,0
92.22624953,C26,-0.5597813,0,0,0,0
